,Unnamed: 0.1,Unnamed: 0,continent,country,capital,image_globe,image_flag,details,level
0,0,0,Asia,Afghanistan,Kabul,Afghanistan.png,Afghanistan_flag.png,"Afghanistan, officially the Islamic Emirate of Afghanistan, is a landlocked country located at the crossroads of Central Asia and South Asia. It is bordered by Pakistan to the east and south, Iran to the west, Turkmenistan to the northwest, Uzbekistan to the north, Tajikistan to the northeast, and China to the northeast and east. Occupying 652,864 square kilometers (252,072 sq mi) of land, the country is predominantly mountainous with plains in the north and the southwest, which are separated by the Hindu Kush mountain range. Kabul is the country's capital and largest city. Afghanistan's population is estimated to be between 36 and 50 million.",Medium
1,1,1,Asia,Armenia,Yerevan,Armenia.png,Armenia_flag.png,"Armenia, officially the Republic of Armenia, is a landlocked country in the Armenian Highlands of West Asia. It is a part of the Caucasus region and is bordered by Turkey to the west, Georgia to the north and Azerbaijan to the east, and Iran and the Azerbaijani exclave of Nakhchivan to the south. Yerevan is the capital, largest city and financial center.",Hard
2,2,5,Asia,Azerbaijan,Baku,Azerbaijan.png,Azerbaijan_flag.png,"Azerbaijan, officially the Republic of Azerbaijan, is a transcontinental and landlocked country at the boundary of West Asia and Eastern Europe. It is a part of the South Caucasus region and is bounded by the Caspian Sea to the east, Russia's republic of Dagestan to the north, Georgia to the northwest, Armenia and Turkey to the west, and Iran to the south. Baku is the capital and largest city.",Hard
3,3,9,Asia,Bahrain,Manama,,Bahrain_flag.png,"Bahrain, officially the Kingdom of Bahrain, is an island country in West Asia. Situated on the Persian Gulf, it comprises a small archipelago of 50 natural islands and an additional 33 artificial islands, centered on Bahrain Island, which makes up around 83 percent of the country's landmass. Bahrain is situated between Qatar and the northeastern coast of Saudi Arabia, to which it is connected by the King Fahd Causeway. The population of Bahrain is 1,501,635 as of 14 May 2023, of whom 712,362 (47.44%) are Bahraini nationals and 789,273 are expatriates spanning 2,000 ethnicities (52.56% of the country's population of 1,501,635). Bahrain spans some 760 square kilometres (290 sq mi), and is the third-smallest nation in Asia after the Maldives and Singapore. The capital and largest city is Manama.",
4,4,10,Asia,Bangladesh,Dhaka,Bangladesh.png,Bangladesh_flag.png,"Bangladesh, officially the People's Republic of Bangladesh, is a country in South Asia. It is the eighth-most populous country in the world and among the most densely populated with a population of over 171 million within an area of 148,460 square kilometres (57,320 sq mi). Bangladesh shares land borders with India to the north, west, and east, and Myanmar to the southeast. It has a coastline along the Bay of Bengal to its south and is separated from Bhutan and Nepal by the Siliguri Corridor, and from China by the Indian state of Sikkim to its north. Dhaka, the capital and largest city, is the nation's political, financial, and cultural centre. Chittagong is the second-largest city and the busiest port of the country.",Easy
5,5,11,Asia,Bhutan,Thimphu,Bhutan.png,Bhutan_flag.png,"Bhutan, officially the Kingdom of Bhutan, is a landlocked country in South Asia, in the Eastern Himalayas between China to the north and northwest and India to the south and southeast. With a population of over 727,145 and a territory of 38,394 square kilometres (14,824 sq mi), Bhutan ranks 133rd in land area and 160th in population. Bhutan is a democratic constitutional monarchy with a King as the head of state and a prime minister as the head of government. The Je Khenpo is the head of the state religion, Vajrayana Buddhism.",Easy
6,6,12,Asia,Brunei,Bandar Seri Begawan,Brunei.png,Brunei_flag.png,"Brunei, officially Brunei Darussalam, is a country in Southeast Asia, situated on the northern coast of the island of Borneo. Apart from its coastline on the South China Sea, it is completely surrounded by the Malaysian state of Sarawak, with its territory bifurcated by the Sarawak district of Limbang. Brunei is the only sovereign state entirely on Borneo; the remainder of the island is divided between its multi-landmass neighbours of Malaysia and Indonesia. As of 2023, the country had a population of 455,858, of whom approximately 180,000 resided in the capital and largest city of Bandar Seri Begawan. Its official language is Malay, and Islam is the state religion of the country, although other religions are nominally tolerated. The government of Brunei is an absolute monarchy ruled by the Sultan, and it implements a fusion of English common law and jurisprudence inspired by Islam, including sharia.",Hard
7,7,13,Asia,Cambodia,Phnom Penh,,Cambodia_flag.png,"Cambodia, officially the Kingdom of Cambodia, is a country in Southeast Asia on the Indochinese Peninsula. It is bordered by Thailand to the northwest, Laos to the north, and Vietnam to the east, and has a coastline along the Gulf of Thailand in the southwest. It spans an area of 181,035 square kilometres (69,898 square miles), dominated by a low-lying plain and the confluence of the Mekong river and Tonlé Sap, Southeast Asia's largest lake. It is dominated by a tropical climate and is rich in biodiversity. Cambodia has a population of about 17 million people, the majority of which are ethnically Khmer. Its capital and most populous city is Phnom Penh, followed by Siem Reap and Battambang.",
8,8,14,Asia,China,Beijing,China.png,China_flag.png,"China, officially the People's Republic of China (PRC), is a country in East Asia. With a population exceeding 1.4 billion, it is the second-most populous country after India, representing 17.4% of the world population. China spans the equivalent of five time zones and borders fourteen countries by land across an area of nearly 9.6 million square kilometers (3,700,000 sq mi), making it the third-largest country by land area. The country is divided into 33 province-level divisions: 22 provinces, 5 autonomous regions, 4 municipalities, and 2 semi-autonomous special administrative regions. Beijing is the country's capital, while Shanghai is its most populous city by urban area and largest financial center.",
9,9,15,Asia,India,New Delhi,India.png,India_flag.png,"India, officially the Republic of India, is a country in South Asia.  It is the seventh-largest country by area; the most populous country since 2023; and, since its independence in 1947, the world's most populous democracy. Bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast, it shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the north; and Bangladesh and Myanmar to the east. In the Indian Ocean, India is near Sri Lanka and the Maldives; its Andaman and Nicobar Islands share a maritime border with Thailand, Myanmar, and Indonesia.",Easy
10,10,16,Asia,Indonesia,Jakarta,Indonesia.png,Indonesia_flag.png,"Indonesia, officially the Republic of Indonesia, is a country in Southeast Asia and Oceania, between the Indian and Pacific oceans. Comprising over 17,000 islands, including Sumatra, Java, Sulawesi, and parts of Borneo and New Guinea, Indonesia is the world's largest archipelagic state and the 14th-largest country by area, at 1,904,569 square kilometres (735,358 square miles). With over 280 million people, Indonesia is the world's fourth-most-populous country and the most populous Muslim-majority country. Java, the world's most populous island, is home to more than half of the country's population.",Easy
11,11,17,Asia,Iran,Tehran,Iran.png,Iran_flag.png,"Iran, officially the Islamic Republic of Iran (IRI) and also known as Persia, is a country in West Asia. It borders Iraq to the west, Turkey, Azerbaijan, and Armenia to the northwest, the Caspian Sea to the north, Turkmenistan to the northeast, Afghanistan to the east, Pakistan to the southeast, and the Gulf of Oman and the Persian Gulf to the south. With a multi-ethnic population of over 92 million in an area of 1,648,195 km2 (636,372 sq mi), Iran ranks 17th globally in both geographic size and population.[8] It is the sixth-largest country entirely in Asia and one of the world's most mountainous countries. Officially an Islamic republic, Iran is divided into five regions with 31 provinces. Tehran is the nation's capital, largest city and financial centre.",Medium
12,12,18,Asia,Iraq,Baghdad,Iraq.png,Iraq_flag.png,"Iraq, officially the Republic of Iraq, is a country in West Asia. It is bordered by Saudi Arabia to the south, Turkey to the north, Iran to the east, the Persian Gulf and Kuwait to the southeast, Jordan to the southwest, and Syria to the west. The country covers an area of 438,317 square kilometres (169,235 sq mi) and has a population of over 46 million, making it the 58th largest country by area and the 31st most populous in the world. Baghdad, home to over 8 million people, is the capital city and the largest in the country.",Medium
13,13,19,Asia,Israel,Jerusalem,Israel.png,Israel_flag.png,"Israel, officially the State of Israel, is a country in West Asia. It shares borders with Lebanon to the north, Syria to the north-east, Jordan to the east, Egypt to the south-west, and the Mediterranean Sea to the west. It occupies the Palestinian territories of the West Bank in the east and the Gaza Strip in the south-west. Israel also has a small coastline on the Red Sea at its southernmost point, and part of the Dead Sea lies along its eastern border. Its proclaimed capital is Jerusalem, while Tel Aviv is the country's largest urban area and economic center.",Medium
14,14,20,Asia,Japan,Tokyo,Japan.png,Japan_flag.png,"Japan is an island country in East Asia. Located in the Pacific Ocean off the northeast coast of the Asian mainland, it is bordered on the west by the Sea of Japan and extends from the Sea of Okhotsk in the north to the East China Sea in the south. The Japanese archipelago consists of four major islands—Hokkaido, Honshu, Shikoku, and Kyushu—and thousands of smaller islands, covering 377,975 square kilometers (145,937 sq mi). Japan has a population of over 123 million as of 2025, making it the eleventh-most populous country. The capital of Japan and its largest city is Tokyo; the Greater Tokyo Area is the largest metropolitan area in the world, with more than 37 million inhabitants as of 2024. Japan is divided into 47 administrative prefectures and eight traditional regions. About three-quarters of the country's terrain is mountainous and heavily forested, concentrating its agriculture and highly urbanized population along its eastern coastal plains. The country sits on the Pacific Ring of Fire, making its islands prone to destructive earthquakes and tsunamis.",Easy
15,15,21,Asia,Jordan,Amman,Jordan.png,Jordan_flag.png,"Jordan, officially the Hashemite Kingdom of Jordan, is a country in the Southern Levant region of West Asia. Jordan is bordered by Syria to the north, Iraq to the east, Saudi Arabia to the south, and Israel and the occupied Palestinian territories to the west. The Jordan River, flowing into the Dead Sea, is located along the country's western border within the Jordan Rift Valley. Jordan has a small coastline along the Red Sea in its southwest, separated by the Gulf of Aqaba from Egypt. Amman is the country's capital and largest city, as well as the most populous city in the Levant.",Hard
